Codigo,Nombre,lat,lng
2721,PUENTE DE PRAGA (GESA),40.397791,3.702551
1624,LA BÖVILA,41.80645408,3.052976399
1619,FIGUERES,42.26727168,2.984432836
1628,CAPMANY (N montaœa),42.380305,2.89071
1630,DIA Celrˇ,42.031044,2.886794
1625,LA JUNQUERA,42.40426846,2.879954152
1626,SALT,41.96898312,2.79966843
1631,DIA Blanes,41.678383,2.774752
901,POLIGONO LEVANTE,39.56711389,2.685688889
902,MAKRO PALMA,39.591575,2.673647
1632,DIA Angl?s,41.958178,2.634419
1629,OLOT,42.19260833,2.489194444
764,MATARO,41.52596389,2.428069444
757,CABRILS,41.52496101,2.367094423
756,LA ROCA STORE,41.61391502,2.346206526
763,SANT PERE DE TORRELLO,42.070389,2.290806
765,LA GARRIGA,41.6784611,2.28133
706,GRANOLLERS,41.60992814,2.277309799
766,MONTORNES,41.554511,2.27094722
752,MAKRO BADALONA,41.47152778,2.254041667
745,AREA DELS PRADALS,41.941,2.25271
767,DIA Tona,41.85325,2.234889
749,PALAU,41.56412708,2.228864646
710,VILLA OLIMPICA,41.39808849,2.207049838
711,LAS GLORIAS,41.40460228,2.19291317
761,CAN VINYALETS (POLINYÊ),41.53931,2.16569
762,SANTIGA,41.5328,2.1529
751,MAKRO ZONA FRANCA,41.33145833,2.122661111
701,IRADIER-TERRE,41.40715709,2.122375471
759,CARRILET,41.35895038,2.106534299
747,ROCBLUME,41.53360026,2.099702059
760,ILLA SABADELL,41.54663,2.09086
768,DIA Castellar del Vall?s,41.601572,2.086902
753,BAIX LLOBREGAT,41.37125557,2.077620475
702,MOLINS DE REY,41.39725384,2.032932812
771,SAN VICENC DEL HORTS,41.385302,2.008957
769,DIA Esparraguera,41.528206,1.877906
705,VILAFRANCA N,41.35800185,1.75217736
705,VILAFRANCA N,41.35800185,1.75217736
7908,EL TARTER,42.5794529,1.639622
704,IGUALADA,41.57857153,1.636381154
4027,CALAFELL,41.19170658,1.583276466
780,JENA IBIZA,38.914332,1.429198
4011,EL SERRALLO (Tarragona) (Pere Martel),41.11167402,1.243147043
4029,PUERTO TARRAGONA,41.106653,1.233153
4001,FRANCOLI,41.10430376,1.196352455
4012,LA PINEDA,41.08583998,1.182690709
4003,LA CANONJA,41.11462599,1.181420154
4024,SALOU-AUTOVIA,41.08734314,1.13468229
4002,VILASECA,41.10340195,1.129583222
4007,VILAFORTUNY (MAR),41.07244645,1.108251155
4007,VILAFORTUNY (MAR),41.07244645,1.108251155
4004,RIUDOMS,41.13765305,1.061210524
4006,VINYOLS,41.07743,1.06099
4008,CAMBRILS,41.07606758,1.059215069
2401,BORJAS BLANCAS (Borjes Blanques),41.52262644,0.862313132
2415,ALCARRAS,41.57944775,0.559322292
4005,ALCANAR (N) mar,40.53331501,0.50760028
2102,FRAGA,41.51492877,0.328205891
338,Denia,38.834081,0.113253
329,PEDREGUER ,38.79739578,0.052929773
329,PEDREGUER ,38.79739578,0.052929773
4328,MASSALFASSAR,39.55245251,-0.299125641
4317,MAKRO VALENCIA,39.53949722,-0.306436111
4321,SERRERIA,39.46356904,-0.337200417
4339,EL PUIG,39.60688889,-0.343691667
4338,MARITIMO,39.463896,-0.345675
4333,HORTA NORD,39.53150391,-0.352590103
4334,LOS NARANJOS,39.54250153,-0.387508966
307,EL CAMPELLO (VINCLE 2000),38.43127418,-0.398795363
4319,SAN ISIDRO,39.45804371,-0.403152768
4323,BENIPARRELL,39.38647594,-0.410710949
4327,GODELLA,39.52684876,-0.412257373
4340,ALDAIA,39.463922,-0.441006
4332,CRISTO FE (PATERNA),39.50144861,-0.446260566
339,COCENTAINA,38.733434,-0.447892
4331,BETERA,39.58273524,-0.469705893
4326,LA POBLA LLARGA,39.08966947,-0.474613912
302,ALCOY (FONT ROJA),38.68860311,-0.479608817
306,RABASSA,38.37419,-0.50691
4335,LA ELIANA (San Antonio de Benageber) ,39.55518333,-0.516111111
304,AVENIDA DE ORIHUELA,38.34561944,-0.517922222
337,LA ALMAZARA,38.39996944,-0.519002778
1112,JERICA,39.91120394,-0.565552889
335,PARQUE EMPRESARIAL ELCHE,38.29816,-0.61432
4318,MONTESA,38.95449784,-0.628986594
340,AVD. DE LAS CORTES VALENCIANAS (GESA),37.991411,-0.674907
331,TORREVIEJA,37.98854284,-0.677437639
301,ELCHE,38.25255222,-0.703047887
2913,LA MANGA,37.63508876,-0.707812456
305,PETRER,38.48888056,-0.777016667
332,ELDA,38.46735,-0.784419444
2935,DIA San Javier,37.808942,-0.832128
4730,LAS FUENTES,41.61136,-0.83465
4706,AV. CATALUæA,41.66756048,-0.851139354
4336,SANCHO (MAUROS),38.83836,-0.85676
4329,PUERTA DE LEVANTE ,38.7897311,-0.887954457
341,REDOVAN (GESA),38.11132,-0.90328
2918,EL ABREVADERO,37.60999,-0.930345
4729,ZARAGOZA,41.57534383,-0.960350677
2939,EL PALMERAL,37.68401133,-0.967995928
336,DESAMPARADOS,38.06351,-0.98375
2911,CARTAGENA,37.61574857,-1.00076208
2910,BELMONTE PLUS,37.61499829,-1.005959721
4731,LA MUELA,41.58572183,-1.099697283
2903,REGIÖN MURCIANA,37.9817855,-1.111664581
2905,ZARAICHE,38.00221769,-1.12131031
2904,MAKRO MURCIA,37.96029444,-1.134577778
2901,JUAN DE BORBON,38.01973084,-1.139670337
2912,VICTORIA III,37.97099504,-1.148779713
205,ALMANSA,38.87520532,-1.175610449
2934,ALTORREAL,38.06674,-1.17815
2902,MERCAMURCIA,37.93482489,-1.196692151
2936,JUMILLA II,38.467297,-1.307731
2937,EL GUADALENTIN,37.80887231,-1.38788079
3004,MUTILVA ,42.8006245,-1.611634325
2908,SUTULLENA (Ronda Sur),37.65874332,-1.698753253
2930,SAN PABLO (CALASPARRA),38.23356508,-1.701730111
2906,EL DESCANSO,37.58607129,-1.786492343
1902,ELIZATXO,43.3367067,-1.796555598
208,ROMICA,39.05477,-1.83163
3002,MUGUIRO,42.99786506,-1.882343806
413,PUERTA DE VERA (ANTAS),37.21371,-1.89786
412,LA NIJAREæA,36.99074,-2.06063
1707,CULLAR I,37.594905,-2.3732812
414,JUAIDA,36.883294,-2.420514
2518,VALLE DE IREGUA,42.3904435,-2.4766025
1706,HUESCAR,37.79947283,-2.543952816
206,AVENIDA DEL OESTE (villarobledo),39.27210448,-2.617018144
401,SANTA ISABEL,36.7609699,-2.636991013
102,BETOæO,42.86490937,-2.6529468
105,GAMARRA,42.86490937,-2.6529468
4512,ARRIAUNDI E,43.18629054,-2.670984427
4512,ARRIAUNDI E,43.18629054,-2.670984427
1633,DIA Santa Coloma,41.855172,-2.679586
4509,ARIATZA (N),43.26624921,-2.685869082
4509,ARIATZA (N),43.26624921,-2.685869082
410,SAN NICOLAS (n),36.79165976,-2.706876299
410,SAN NICOLAS (S),36.79165976,-2.706876299
104,RIVABELLOSA,42.710624,-2.906969
5002,CARLOS V,35.28061111,-2.938972222
5003,PUENTE DE TRIANA,35.28683333,-2.941777778
5007,M.P. POLAVIEJA (Puente de Triana),35.286186,-2.942222
5005,MUELLE DEPORTIVO MELILLA,35.294959,-2.943196
5006,M.P. ALFEREZ PROVISIONAL (Garaje Escaœo),35.29046419,-2.946336865
5001,ALFONSO XIII,35.28116667,-2.947833333
5004,MARTIN DE CORDOBA,35.28941667,-2.948722222
4502,MAKRO BILBAO,43.30333056,-2.952605556
1222,TOMELLOSO (GESA),39.166373,-3.028078
2784,FUENTIDUEæA,40.08414167,-3.112975
1802,GUADALAJARA NUDO NORTE,40.6402958,-3.151047714
3606,ONTON,43.34770729,-3.155250899
1805,FONTANAR,40.71759722,-3.168719444
1801,AZUQUECA,40.56620395,-3.251765954
1804,EL CORREDOR,40.5564,-3.26476
2787,EL ROBLEDAL,40.43450278,-3.280583333
1806,VILLANUEVA DE LA TORRE,40.583444,-3.298397
1803,TORREJON DEL REY,40.64813094,-3.338973393
2236,SAN MIGUEL DE UBEDA,38.016114,-3.363861
2714,PUERTA DE MADRID (GESA),40.48079,-3.374933
2703,TORRES DE LA ALAMEDA,40.40833731,-3.37504604
2706,ALCALÊ DE HENARES,40.49039585,-3.385082683
1219,VALDEPEæAS,38.8420621,-3.393033564
2778,SOTO DEL HENARES,40.46571,-3.43902
2762,PARQUE DE CATALUæA,40.4520029,-3.458289416
2230,BAEZA,37.99225,-3.47956
2737,LAS MONJAS,40.44624441,-3.483403359
2770,FUENTE EL SAZ,40.66084,-3.48607
1719,EL VADILLO,36.73754,-3.51328
2718,RIVAS (GESA),40.325669,-3.520126
823,QUINTANAPALLA,42.41735555,-3.52037399
2722,COSLADA (GESA),40.434259,-3.532528
2783,EL DORADO DE RIVAS,40.35575278,-3.554630556
2761,MAKRO BARAJAS,40.44482778,-3.582522222
2716,LA CABRERA (GESA),40.875816,-3.602362
2723,VIæA DEL TOMILLO (GESA),40.875827,-3.602366
1720,CAMPUS DE LA SALUD,37.14574,-3.60272
2776,LOS MAJUELOS,40.56555833,-3.605486111
2768,ARANJUEZ,40.03922806,-3.60651713
2765,CIEMPOZUELOS,40.15950017,-3.60771493
2795,LOZOYUELA (GESA),40.90665,-3.610159
2702,LOS VIæEDOS ,40.54766197,-3.610733811
1704,ARMILLA,37.15151742,-3.614833316
2757,LA SERNA,41.04067699,-3.617856261
2779,VALDEBEBAS,40.47365833,-3.624194444
2791,LA MORALEJA,40.49806667,-3.626219444
2719,M-40 (GESA),40.469102,-3.627632
1725,PADUL,37.0282056,-3.63602778
2782,MACHUPICHU,40.46489444,-3.636197222
1716,ALHENDIN,37.10441,-3.64066
1724,VEGA DEL GENIL,37.157775,-3.641605556
2790,PARQUE FORESTAL,40.495342,-3.642811
2763,VALDELAPARRA (ALCOBENDAS II),40.53761996,-3.64322134
2701,ALCOBENDAS (I),40.52882522,-3.651579016
1708,LOMA VERDE,37.2478562,-3.655699344
1713,COVIRAN,37.20737717,-3.665205855
2751,VALDEMORO,40.19842034,-3.677452749
2773,LAS TABLAS,40.50808,-3.6791
4233,SESEæA,40.10546389,-3.682883333
2712,GOYA (GESA),40.424939,-3.682896
2789,M-50 365 PINTO,40.264922,-3.692938
802,SARRACIN,42.204107,-3.696899
2713,ALBERTO AGUILERA (GESA),40.430096,-3.70869
2759,VILLAVERDE (La Povedilla),40.32913785,-3.715908157
2759,VILLAVERDE (La Povedilla),40.32913785,-3.715908157
2720,PLAZA ELIPTICA (GESA),40.386374,-3.716692
822,VILLAGONZALO,42.30677379,-3.732364681
2760,GETAFE,40.31110666,-3.736783624
2717,COLMENAR (GESA),40.658485,-3.759842
801,FONTIOSO (Lerma),41.93055037,-3.760047249
2727,CIUDAD DEL AUTOMOVIL 365,40.3818764,-3.763174
2211,LA LOMA,37.78051125,-3.764381179
2209,UNIVERSIDAD JAEN (Torrequebrada),37.78463615,-3.77597318
1717,CHAUCHINA,37.1937,-3.77687
2707,PARLA,40.2435655,-3.777941223
2233,LOS ROSALES,37.78854,-3.78259
2229,SAN LUCAS,37.913884,-3.783709
2756,LOS CASTILLOS (ALCORCÖN),40.35283552,-3.808362245
2766,POLVORANCA,40.33616575,-3.811730469
3611,LOS CASTROS,43.46822,-3.81624
2715,ALCORCON (GESA),40.3565,-3.819548
4230,ILLESCAS,40.14225,-3.83017
3610,LACABE,43.46459,-3.83329
1723,PUERTO LOPE,37.34465556,-3.834133333
2758,POZUELO (N),40.44068842,-3.840729108
2758,POZUELO (S),40.44068842,-3.840729108
3602,MAKRO SANTANDER,43.42578056,-3.841919444
2724,MANZANARES EL REAL (GESA),40.727931,-3.859068
3609,CHATEAU LA ROCA,43.465806,-3.874694
2227,TORREDELCAMPO (STA.ANA),37.77657362,-3.888793527
3601,IGOLLO,43.43730127,-3.900803789
1218,CARRION,38.99074051,-3.901885267
1202,RONDALEGRE,38.99461544,-3.92475165
2764,SIERRA NORTE (Puente de Madrid),40.69100278,-3.925653917
2232,PUERTA DE ALCALA,37.45234,-3.93519
1201,EL CHARCO,38.97275099,-3.940859253
4232,TOLEDO,39.86728889,-3.958777778
3605,AREA DE SERVICIO EL GORNAZ('E),43.40781506,-3.987341908
4231,OLôAS,39.94509,-3.99561
2750,VILLANUEVA DE LA CAæADA ,40.46895219,-4.014375218
2786,COLLADO-MEDIANO,40.685878,-4.015461
1722,MONTEFRIO,37.31979722,-4.036761111
3604,TORRELAVEGA,43.35228674,-4.050940316
4234,VALPARAISO,39.88936389,-4.054894444
4203,CASARRUBIOS (I) DEL MONTE ,40.24464954,-4.057380664
3612,ALTAPEæA,43.25244167,-4.070977778
4202,CASARRUBIOS 2,40.22332927,-4.075478367
2234,ALCAUDETE,37.591158,-4.078528
2775,GUADARRAMA,40.667771,-4.0881609
3705,SAN CRISTOBAL (GESA),40.952286,-4.088521
3607,AREA DE SERVICIO REOCIN,43.356972,-4.092806
2807,VELEZ-MALAGA (AXARQUIA),36.775955,-4.10201
3702,SEGOVIA ENTRADA (GESA),40.927211,-4.109311
3703,SEGOVIA SALIDA (GESA),40.9227001,-4.109666
2749,VALDEMORILLO,40.5435624,-4.109806894
3701,LOS ANGELES DE SAN RAFAEL,40.77697,-4.20807
2833,RINCON DE LA VICTORIA,36.72544,-4.255076777
3608,RUENTE,43.270361,-4.265
2252,EL TAMBOR DE BAENA,37.623228,-4.323386
2835,AZUCARERA,36.68398961,-4.466693179
2810,SAN LUIS (ORTEGA Y GASSET),36.70639848,-4.467476974
2809,LOS PRADOS (MAYORAL),36.69944831,-4.468173288
2834,PLAZA MAYOR,36.65446665,-4.479960993
2250,LA VIæUELA (LUCENA),37.41834,-4.48392
2815,TORREMOLINOS,36.63225221,-4.49900812
2839,EL TARAJAL,36.70869,-4.50562
3302,PALENCIA ,41.99744,-4.50926
2811,ANTEQUERA,37.04491661,-4.512231613
2838,ALHAURIN DE LA TORRE,36.66082,-4.53015
2813,BENALMADENA (Torrequebrada),36.58313998,-4.536138979
2814,RESERVA DEL HIGUERON,36.58602053,-4.593413751
2842,MOLLINA,37.119819,-4.665161
501,ÊVILA,40.64111389,-4.696261111
4401,LAGUNA DE DUERO (la salle),41.59452545,-4.723731006
4407,AVENIDA DE BURGOS,41.67434,-4.72422
2837,CABO PINO,36.488187,-4.741568
4402,AVENIDA DE GIJÖN,41.66116233,-4.74609293
2836,COIN,36.66322474,-4.753241115
4405,PARQUESOL,41.63182622,-4.767378727
3820,LA RODA,37.19772671,-4.796633346
3846,ESTEPA,37.27578508,-4.801177601
4205,AVD. DE PORTUGAL (TALAVERA),39.95786,-4.844709
2841,SIERRA DE YEGUAS,37.123536,-4.873197
2812,TRAPICHE,36.52002391,-4.891923038
3301,VILLARRAMIEL,42.04748635,-4.901887468
4406,MONTICO GOLF,41.52499,-4.91671
2808,PUERTO BANUS,36.49462869,-4.951466476
3826,MARTIN DE JARA,37.11504606,-4.95531966
3829,SANTA ANA,37.60219099,-4.971221941
4403,TORDESILLAS,41.5260683,-5.042395533
3827,OSUNA,37.23236775,-5.088663514
2843,RONDA ,36.752986,-5.156197
2832,ESTEPONA,36.43160849,-5.171045822
2817,GUADALOBON,36.41719729,-5.175919516
7182,PUERTO,35.891069,-5.318011
4801,MUELLE DATO (CAæONERO DATO),35.89115352,-5.318498611
7185,CATENA (CATESAN),35.887207,-5.320721
1016,LA LINEA DE LA CONCEPCION,36.17716398,-5.34929878
1021,PORTICHUELOS,36.23078635,-5.351614498
4601,VILLALPANDO,41.82675561,-5.379843527
3840,RUTA  4,37.50814343,-5.388993097
3852,MARCHENA,37.25405,-5.4096
1010,EL MIRADOR,36.14124735,-5.454682558
1008,NUESTRA SEæORA DEL CARMEN,36.14757539,-5.455124297
3848,DULCE NOMBRE SUR,37.26928365,-5.499834217
3847,DULCE NOMBRE NORTE,37.27015036,-5.500548772
2303,TEJA - NAVATEJERA,42.62237208,-5.563751874
2301,LUIS DE GONGORA (LEON I),42.58480333,-5.590190334
2327,VILLAMAæAN (Carroastorga),42.32489,-5.60467
3503,SANTA MARTA ,40.93380841,-5.627723352
4602,BENAVENTE,41.99721881,-5.661432072
3214,CARBONERA,43.50385051,-5.679191206
3239,TREMAæES,43.533833,-5.691222
3240,CERILLERO,43.53755,-5.71231
3223,DANYLU,43.21006717,-5.763437617
3243,LA CORREDORIA,43.39269298,-5.818535522
3844,ALCALÊ DE GUADAIRA,37.34802,-5.84855
3837,LA LIEBRE,37.35715797,-5.868433376
3836,PALILLOS,37.37032385,-5.879874905
632,LAS CUMBRES,38.9593361,-5.8806361
3802,AEROSEVILLA,37.42820867,-5.895344756
3212,VILLALEGRE,43.537,-5.906889
3855,VISTAZUL (GESA),37.279954,-5.909603
3835,PALMETE,37.37270219,-5.921762968
912,MIAJADAS,39.141464,-5.923781
3845,BUJALMORO,37.23118151,-5.926417452
3842,LOS PALACIOS,37.16845673,-5.928651197
3833,LA VICTORIA,37.47334198,-5.932256824
3211,SAN AGUSTIN,43.552,-5.933139
3854,LA GIRALDA,37.27721389,-5.93430556
3803,PALACIO DE CONGRESOS,37.40525773,-5.934830437
3803,PALACIO DE CONGRESOS,37.40525773,-5.934830437
3238,VAZQUEZ Y CASTRO (AVILES),43.54346874,-5.93807004
3805,MONTESIERRA,37.393194,-5.953472
3832,LAS CABEZAS,36.97487956,-5.960701891
3825,SAN JUAN DE AZNALFARACHE,37.37104779,-6.027952852
3838,GELVES,37.32595382,-6.029890459
3856,VISTAGIRALDA (GESA),37.3634,-6.039264
3801,GINES,37.38455263,-6.066082772
1015,AEROPUERTO DE JEREZ,36.75860965,-6.071520714
3843,BORMUJOS,37.36560284,-6.088644114
3851,EL RETIRO (ESPARTINAS),37.38345,-6.11033
3834,TABLANTES,37.38099126,-6.13650065
1002,EL MARQUESADO,36.43042628,-6.142547075
1025,SOLGALOPE (HERNAN CORTES),36.684333,-6.153028
1024,PIZARRO,36.69873,-6.16277
1022,JEREZ-1,36.68218,-6.16369
1023,CABALLO BLANCO,36.58377,-6.21714
1003,MAKRO PUERTO STA. MARIA,36.586675,-6.219316667
1005,CARRANZA,36.5013338,-6.270737234
2328,VILLABLINO,42.93441,-6.32423
1009,SANLUCAR,36.79079444,-6.33855
1026,DELPUERTO,36.75559167,-6.340752778
633,LA HEREDAD,38.905431,-6.353161
630,MERIDA,38.85977,-6.36429
911,LAS TORRES,39.4534893,-6.365571931
602,ALMENDRALEJO,38.69329952,-6.411116214
2324,BEMBIBRE,42.61917,-6.41461
3502,SANCTI SPIRITUS,40.69706741,-6.417250012
2329,LA PEREGRINA,42.54534444,-6.582725
3213,JARRIO I,43.54107475,-6.759803736
601,TALAVERA,38.86536944,-6.811516667
2018,JUAN RAMÖN JIMêNEZ,37.27973611,-6.9302944
2015,CARTAYA,37.2916,-7.13213
3420,AGOLADA,42.77400833,-8.026319444
1425,VALDOVIæO,43.59889167,-8.147977778
1416,A RAMALLEIRA,43.347182,-8.249272
1417,OSEDO (El Nogal),43.33906,-8.28575
1429,SAN PEDRO DE NOS,43.306611,-8.323075
1413,MAKRO A CORUæA,43.35172778,-8.431816667
1411,CERCEDA,43.18814499,-8.47603913
1418,AEROPUERTO DE SANTIAGO,42.8970297,-8.5188376
1424,TRAZO,43.00803,-8.56067
1423,AS LABRADAS,43.20467,-8.67326
3404,TOMIæO ,42.01349044,-8.673940186
3404,TOMIæO ,42.01349044,-8.673940186
1427,CARBALLO,43.22205556,-8.683716667
3413,AVENIDA MADRID,42.22176016,-8.708096338
1415,SERRA DO BARBANZA,42.71633,-8.72643
3416,BUEU,42.3385,-8.751972
1421,A BAæA,42.92654,-8.7596
3414,RIA DE VIGO,42.259083,-8.785944
3406,RIAS BAIXAS,42.5093769,-8.792623677
1426,BOIRO,42.6620667,-8.88696389
1412,SANTA EUGENIA (Santa Uxia),42.56947738,-8.982861487
1428,MUXIA,43.103078,-9.214669
